run,best_dev_uar,test_uar,test_wa,test_macro_f1,classwise_f1_mean,classwise_recall_mean
iemocap_in_corpus_attnpool,0.4936415063510647,0.5165280604679237,0.5,0.5089212005717026,0.5089212005717026,0.5165280604679235
iemocap_in_corpus_chunk,0.4851387358881763,0.506002560323648,0.534217877094972,0.5054728162055179,0.5054728162055178,0.506002560323648
iemocap_in_corpus_meanpool,0.4577858328129943,0.4775702807593398,0.5090782122905028,0.4822998088643489,0.482299808864349,0.4775702807593398
iemocap_plus_cremad_to_podcast_attnpool,0.5499864435043083,0.3097916666666666,0.3097916666666667,0.2603508148569264,0.2603508148569265,0.3097916666666666
iemocap_plus_cremad_to_podcast_chunk,0.5580328923252278,0.3464583333333333,0.3464583333333333,0.3018444602100089,0.3018444602100089,0.34645833333333337
iemocap_plus_cremad_to_podcast_meanpool,0.5593843819706521,0.3575,0.3575,0.3081883421642227,0.30818834216422275,0.3575
iemocap_to_podcast_attnpool,0.4774829750899376,0.343125,0.343125,0.2977565662068763,0.29775656620687624,0.34312499999999996
iemocap_to_podcast_chunk,0.4851387358881763,0.3614583333333333,0.3614583333333333,0.3031986771639473,0.30319867716394727,0.3614583333333333
iemocap_to_podcast_meanpool,0.4634712299080541,0.363125,0.363125,0.309731358279013,0.309731358279013,0.3631249999999999
podcast_in_corpus_attnpool,0.5114583333333333,0.5104166666666666,0.5104166666666666,0.5062634000877845,0.5062634000877845,0.5104166666666666
podcast_in_corpus_chunk,0.4989583333333333,0.5095833333333333,0.5095833333333334,0.5036298899029179,0.5036298899029178,0.5095833333333333
podcast_in_corpus_meanpool,0.5025000000000001,0.5058333333333334,0.5058333333333334,0.4957778748031957,0.4957778748031956,0.5058333333333334
podcast_to_iemocap_attnpool,0.5114583333333333,0.4147063280606997,0.3798882681564245,0.3807635852797142,0.38076358527971427,0.4147063280606997
podcast_to_iemocap_chunk,0.4989583333333333,0.4262113222607047,0.3910614525139664,0.3929999829109791,0.3929999829109791,0.4262113222607047
podcast_to_iemocap_meanpool,0.5025000000000001,0.4028838450816104,0.3840782122905028,0.3803256271779479,0.38032562717794793,0.4028838450816104
